correctAns,key,is_correct,rt,task,level,trial,id,pool
right,right,1,9.9932,MR,easy,1,jKBHzXx0Pg,pool1
right,right,1,14.0918,MR,easy,2,jKBHzXx0Pg,pool1
left,left,1,6.1454,MR,easy,3,jKBHzXx0Pg,pool1
right,right,1,4.9912,MR,easy,4,jKBHzXx0Pg,pool1
left,left,1,16.2868,MR,easy,5,jKBHzXx0Pg,pool1
left,right,0,4.7361,MR,easy,6,jKBHzXx0Pg,pool1
right,right,1,4.5436,MR,easy,7,jKBHzXx0Pg,pool1
right,left,0,9.9087,MR,easy,8,jKBHzXx0Pg,pool1
left,left,1,8.1565,MR,easy,9,jKBHzXx0Pg,pool1
right,right,1,3.6162,MR,easy,10,jKBHzXx0Pg,pool1
right,right,1,6.4529,MR,easy,11,jKBHzXx0Pg,pool1
right,right,1,4.8548,MR,easy,12,jKBHzXx0Pg,pool1
right,right,1,2.8291,MR,easy,13,jKBHzXx0Pg,pool1
left,left,1,3.1643,MR,easy,14,jKBHzXx0Pg,pool1
right,right,1,5.1079,MR,easy,15,jKBHzXx0Pg,pool1
right,right,1,4.8875,MR,easy,16,jKBHzXx0Pg,pool1
left,left,1,11.8866,MR,medium,1,jKBHzXx0Pg,pool1
right,right,1,5.653,MR,medium,2,jKBHzXx0Pg,pool1
left,left,1,9.3912,MR,medium,3,jKBHzXx0Pg,pool1
right,right,1,9.4858,MR,medium,4,jKBHzXx0Pg,pool1
left,left,1,5.0945,MR,medium,5,jKBHzXx0Pg,pool1
left,left,1,14.6607,MR,medium,6,jKBHzXx0Pg,pool1
right,right,1,4.5267,MR,medium,7,jKBHzXx0Pg,pool1
left,right,0,5.7767,MR,medium,8,jKBHzXx0Pg,pool1
right,right,1,8.5676,MR,medium,9,jKBHzXx0Pg,pool1
left,left,1,7.3236,MR,medium,10,jKBHzXx0Pg,pool1
left,left,1,15.6626,MR,medium,11,jKBHzXx0Pg,pool1
right,left,0,6.2324,MR,medium,12,jKBHzXx0Pg,pool1
left,left,1,14.7005,MR,medium,13,jKBHzXx0Pg,pool1
left,right,0,6.7478,MR,medium,14,jKBHzXx0Pg,pool1
left,left,1,7.4836,MR,medium,15,jKBHzXx0Pg,pool1
left,left,1,12.3768,MR,medium,16,jKBHzXx0Pg,pool1
right,right,1,14.242,MR,hard,1,jKBHzXx0Pg,pool1
left,left,1,11.1673,MR,hard,2,jKBHzXx0Pg,pool1
left,left,1,20.6262,MR,hard,3,jKBHzXx0Pg,pool1
right,right,1,7.8381,MR,hard,4,jKBHzXx0Pg,pool1
right,right,1,9.788,MR,hard,5,jKBHzXx0Pg,pool1
right,right,1,16.0254,MR,hard,6,jKBHzXx0Pg,pool1
left,left,1,7.0356,MR,hard,7,jKBHzXx0Pg,pool1
right,right,1,5.0773,MR,hard,8,jKBHzXx0Pg,pool1
right,right,1,22.902,MR,hard,9,jKBHzXx0Pg,pool1
left,right,0,29.4355,MR,hard,10,jKBHzXx0Pg,pool1
left,left,1,8.1205,MR,hard,11,jKBHzXx0Pg,pool1
left,left,1,21.7348,MR,hard,12,jKBHzXx0Pg,pool1
right,left,0,13.8957,MR,hard,13,jKBHzXx0Pg,pool1
right,left,0,8.1301,MR,hard,14,jKBHzXx0Pg,pool1
right,right,1,7.9212,MR,hard,15,jKBHzXx0Pg,pool1
right,right,1,5.4798,MR,hard,16,jKBHzXx0Pg,pool1
left,right,0,4.3718,MR,easy,1,TqUBvW8Aaz,pool1
right,right,1,4.2826,MR,easy,2,TqUBvW8Aaz,pool1
left,right,0,7.4996,MR,easy,3,TqUBvW8Aaz,pool1
left,right,0,2.9168,MR,easy,4,TqUBvW8Aaz,pool1
left,right,0,4.3382,MR,easy,5,TqUBvW8Aaz,pool1
left,right,0,3.6591,MR,easy,6,TqUBvW8Aaz,pool1
right,right,1,4.8517,MR,easy,7,TqUBvW8Aaz,pool1
left,right,0,5.0869,MR,easy,8,TqUBvW8Aaz,pool1
left,right,0,4.4366,MR,easy,9,TqUBvW8Aaz,pool1
right,right,1,5.9319,MR,easy,10,TqUBvW8Aaz,pool1
left,right,0,3.3415,MR,easy,11,TqUBvW8Aaz,pool1
left,right,0,4.3366,MR,easy,12,TqUBvW8Aaz,pool1
right,right,1,4.354,MR,easy,13,TqUBvW8Aaz,pool1
right,right,1,3.443,MR,easy,14,TqUBvW8Aaz,pool1
right,right,1,6.4579,MR,easy,15,TqUBvW8Aaz,pool1
right,right,1,5.0785,MR,easy,16,TqUBvW8Aaz,pool1
left,left,1,10.9322,MR,medium,1,TqUBvW8Aaz,pool1
left,right,0,16.3712,MR,medium,2,TqUBvW8Aaz,pool1
left,left,1,12.0912,MR,medium,3,TqUBvW8Aaz,pool1
right,right,1,12.7071,MR,medium,4,TqUBvW8Aaz,pool1
right,right,1,9.269,MR,medium,5,TqUBvW8Aaz,pool1
right,left,0,10.5307,MR,medium,6,TqUBvW8Aaz,pool1
right,right,1,11.1425,MR,medium,7,TqUBvW8Aaz,pool1
right,right,1,7.6131,MR,medium,8,TqUBvW8Aaz,pool1
left,right,0,5.2263,MR,medium,9,TqUBvW8Aaz,pool1
right,right,1,10.4672,MR,medium,10,TqUBvW8Aaz,pool1
left,right,0,9.2544,MR,medium,11,TqUBvW8Aaz,pool1
right,left,0,10.8449,MR,medium,12,TqUBvW8Aaz,pool1
left,right,0,16.7676,MR,medium,13,TqUBvW8Aaz,pool1
right,right,1,15.9686,MR,medium,14,TqUBvW8Aaz,pool1
right,right,1,19.518,MR,medium,15,TqUBvW8Aaz,pool1
left,right,0,7.7766,MR,medium,16,TqUBvW8Aaz,pool1
right,left,0,13.4504,MR,hard,1,TqUBvW8Aaz,pool1
right,right,1,7.1518,MR,hard,2,TqUBvW8Aaz,pool1
left,left,1,23.9329,MR,hard,3,TqUBvW8Aaz,pool1
right,left,0,6.5042,MR,hard,4,TqUBvW8Aaz,pool1
right,right,1,11.632,MR,hard,5,TqUBvW8Aaz,pool1
left,left,1,8.9799,MR,hard,6,TqUBvW8Aaz,pool1
left,left,1,5.1548,MR,hard,7,TqUBvW8Aaz,pool1
right,right,1,12.607,MR,hard,8,TqUBvW8Aaz,pool1
right,right,1,10.5784,MR,hard,9,TqUBvW8Aaz,pool1
right,right,1,18.6331,MR,hard,10,TqUBvW8Aaz,pool1
right,left,0,16.6172,MR,hard,11,TqUBvW8Aaz,pool1
right,left,0,6.6185,MR,hard,12,TqUBvW8Aaz,pool1
left,left,1,4.0542,MR,hard,13,TqUBvW8Aaz,pool1
right,left,0,8.9599,MR,hard,14,TqUBvW8Aaz,pool1
left,right,0,16.3033,MR,hard,15,TqUBvW8Aaz,pool1
left,left,1,10.6865,MR,hard,16,TqUBvW8Aaz,pool1
left,right,0,11.161,MR,easy,1,WAh9qhgg6o,pool1
right,right,1,4.455,MR,easy,2,WAh9qhgg6o,pool1
right,right,1,6.028,MR,easy,3,WAh9qhgg6o,pool1
left,left,1,11.361,MR,easy,4,WAh9qhgg6o,pool1
left,left,1,5.188,MR,easy,5,WAh9qhgg6o,pool1
left,left,1,5.363,MR,easy,6,WAh9qhgg6o,pool1
right,right,1,5.871,MR,easy,7,WAh9qhgg6o,pool1
left,right,0,5.601,MR,easy,8,WAh9qhgg6o,pool1
right,right,1,2.602,MR,easy,9,WAh9qhgg6o,pool1
right,right,1,1.922,MR,easy,10,WAh9qhgg6o,pool1
left,left,1,5.413,MR,easy,11,WAh9qhgg6o,pool1
right,right,1,2.4,MR,easy,12,WAh9qhgg6o,pool1
right,right,1,2.064,MR,easy,13,WAh9qhgg6o,pool1
left,left,1,2.039,MR,easy,14,WAh9qhgg6o,pool1
right,right,1,2.934,MR,easy,15,WAh9qhgg6o,pool1
left,left,1,1.789,MR,easy,16,WAh9qhgg6o,pool1
right,left,0,5.795,MR,medium,1,WAh9qhgg6o,pool1
right,left,0,6.677,MR,medium,2,WAh9qhgg6o,pool1
left,right,0,9.96,MR,medium,3,WAh9qhgg6o,pool1
right,left,0,2.881,MR,medium,4,WAh9qhgg6o,pool1
right,left,0,2.414,MR,medium,5,WAh9qhgg6o,pool1
right,left,0,9.004,MR,medium,6,WAh9qhgg6o,pool1
right,left,0,2.092,MR,medium,7,WAh9qhgg6o,pool1
right,left,0,3.363,MR,medium,8,WAh9qhgg6o,pool1
left,left,1,5.517,MR,medium,9,WAh9qhgg6o,pool1
left,left,1,3.848,MR,medium,10,WAh9qhgg6o,pool1
right,left,0,2.638,MR,medium,11,WAh9qhgg6o,pool1
right,left,0,3.837,MR,medium,12,WAh9qhgg6o,pool1
right,left,0,4.544,MR,medium,13,WAh9qhgg6o,pool1
right,left,0,1.889,MR,medium,14,WAh9qhgg6o,pool1
right,left,0,2.343,MR,medium,15,WAh9qhgg6o,pool1
left,right,0,6.2,MR,medium,16,WAh9qhgg6o,pool1
left,left,1,2.71,MR,hard,1,WAh9qhgg6o,pool1
left,left,1,4.401,MR,hard,2,WAh9qhgg6o,pool1
left,right,0,6.696,MR,hard,3,WAh9qhgg6o,pool1
left,left,1,2.961,MR,hard,4,WAh9qhgg6o,pool1
right,left,0,4.268,MR,hard,5,WAh9qhgg6o,pool1
right,left,0,4.255,MR,hard,6,WAh9qhgg6o,pool1
left,left,1,4.947,MR,hard,7,WAh9qhgg6o,pool1
left,left,1,7.628,MR,hard,8,WAh9qhgg6o,pool1
left,left,1,3.359,MR,hard,9,WAh9qhgg6o,pool1
right,left,0,2.498,MR,hard,10,WAh9qhgg6o,pool1
left,left,1,6.329,MR,hard,11,WAh9qhgg6o,pool1
left,right,0,3.321,MR,hard,12,WAh9qhgg6o,pool1
left,left,1,2.187,MR,hard,13,WAh9qhgg6o,pool1
right,left,0,3.067,MR,hard,14,WAh9qhgg6o,pool1
right,right,1,5.827,MR,hard,15,WAh9qhgg6o,pool1
left,right,0,11.293,MR,hard,16,WAh9qhgg6o,pool1
left,left,1,8.196,MR,easy,1,6xDo1DDaCf,pool1
left,left,1,11.926,MR,easy,2,6xDo1DDaCf,pool1
right,right,1,3.269,MR,easy,3,6xDo1DDaCf,pool1
left,left,1,7.687,MR,easy,4,6xDo1DDaCf,pool1
left,left,1,4.233,MR,easy,5,6xDo1DDaCf,pool1
left,left,1,16.175,MR,easy,6,6xDo1DDaCf,pool1
left,left,1,4.506,MR,easy,7,6xDo1DDaCf,pool1
right,right,1,4.378,MR,easy,8,6xDo1DDaCf,pool1
left,left,1,3.89,MR,easy,9,6xDo1DDaCf,pool1
right,right,1,3.152,MR,easy,10,6xDo1DDaCf,pool1
left,left,1,1.836,MR,easy,11,6xDo1DDaCf,pool1
right,right,1,5.839,MR,easy,12,6xDo1DDaCf,pool1
left,left,1,2.48,MR,easy,13,6xDo1DDaCf,pool1
left,left,1,1.509,MR,easy,14,6xDo1DDaCf,pool1
right,right,1,2.97,MR,easy,15,6xDo1DDaCf,pool1
right,right,1,2.372,MR,easy,16,6xDo1DDaCf,pool1
left,left,1,5.211,MR,medium,1,6xDo1DDaCf,pool1
left,left,1,6.341,MR,medium,2,6xDo1DDaCf,pool1
left,left,1,5.067,MR,medium,3,6xDo1DDaCf,pool1
right,right,1,3.374,MR,medium,4,6xDo1DDaCf,pool1
left,left,1,3.9,MR,medium,5,6xDo1DDaCf,pool1
left,left,1,2.612,MR,medium,6,6xDo1DDaCf,pool1
right,right,1,3.749,MR,medium,7,6xDo1DDaCf,pool1
left,left,1,3.818,MR,medium,8,6xDo1DDaCf,pool1
right,right,1,5.285,MR,medium,9,6xDo1DDaCf,pool1
left,left,1,2.345,MR,medium,10,6xDo1DDaCf,pool1
right,right,1,6.339,MR,medium,11,6xDo1DDaCf,pool1
left,left,1,7.185,MR,medium,12,6xDo1DDaCf,pool1
right,right,1,5.106,MR,medium,13,6xDo1DDaCf,pool1
left,left,1,2.95,MR,medium,14,6xDo1DDaCf,pool1
right,right,1,3.691,MR,medium,15,6xDo1DDaCf,pool1
right,right,1,5.883,MR,medium,16,6xDo1DDaCf,pool1
left,left,1,9.195,MR,hard,1,6xDo1DDaCf,pool1
left,left,1,4.606,MR,hard,2,6xDo1DDaCf,pool1
right,right,1,2.923,MR,hard,3,6xDo1DDaCf,pool1
right,right,1,4.313,MR,hard,4,6xDo1DDaCf,pool1
right,right,1,10.57,MR,hard,5,6xDo1DDaCf,pool1
right,right,1,8.513,MR,hard,6,6xDo1DDaCf,pool1
right,right,1,5.772,MR,hard,7,6xDo1DDaCf,pool1
left,left,1,9.434,MR,hard,8,6xDo1DDaCf,pool1
right,right,1,5.369,MR,hard,9,6xDo1DDaCf,pool1
left,left,1,5.056,MR,hard,10,6xDo1DDaCf,pool1
right,right,1,3.615,MR,hard,11,6xDo1DDaCf,pool1
left,right,0,6.777,MR,hard,12,6xDo1DDaCf,pool1
left,right,0,2.987,MR,hard,13,6xDo1DDaCf,pool1
left,left,1,9.254,MR,hard,14,6xDo1DDaCf,pool1
right,left,0,9.674,MR,hard,15,6xDo1DDaCf,pool1
left,left,1,10.015,MR,hard,16,6xDo1DDaCf,pool1
right,left,0,5.34,MR,easy,1,9ZffIZqFHz,pool1
right,right,1,3.3298,MR,easy,2,9ZffIZqFHz,pool1
left,left,1,6.1909,MR,easy,3,9ZffIZqFHz,pool1
right,right,1,3.8907,MR,easy,4,9ZffIZqFHz,pool1
right,right,1,3.6596,MR,easy,5,9ZffIZqFHz,pool1
left,left,1,9.1263,MR,easy,6,9ZffIZqFHz,pool1
right,right,1,4.5694,MR,easy,7,9ZffIZqFHz,pool1
left,left,1,9.2088,MR,easy,8,9ZffIZqFHz,pool1
right,right,1,5.2886,MR,easy,9,9ZffIZqFHz,pool1
left,left,1,3.4047,MR,easy,10,9ZffIZqFHz,pool1
left,left,1,9.4198,MR,easy,11,9ZffIZqFHz,pool1
right,right,1,4.6738,MR,easy,12,9ZffIZqFHz,pool1
right,right,1,5.6159,MR,easy,13,9ZffIZqFHz,pool1
left,left,1,3.5342,MR,easy,14,9ZffIZqFHz,pool1
left,left,1,6.1785,MR,easy,15,9ZffIZqFHz,pool1
right,right,1,5.8306,MR,easy,16,9ZffIZqFHz,pool1
left,right,0,4.3626,MR,medium,1,9ZffIZqFHz,pool1
left,left,1,7.8796,MR,medium,2,9ZffIZqFHz,pool1
left,left,1,7.9704,MR,medium,3,9ZffIZqFHz,pool1
left,left,1,8.2875,MR,medium,4,9ZffIZqFHz,pool1
right,left,0,11.3383,MR,medium,5,9ZffIZqFHz,pool1
left,left,1,6.3652,MR,medium,6,9ZffIZqFHz,pool1
right,right,1,4.9626,MR,medium,7,9ZffIZqFHz,pool1
right,right,1,5.9648,MR,medium,8,9ZffIZqFHz,pool1
right,right,1,4.6756,MR,medium,9,9ZffIZqFHz,pool1
left,left,1,7.6475,MR,medium,10,9ZffIZqFHz,pool1
right,right,1,5.2166,MR,medium,11,9ZffIZqFHz,pool1
left,left,1,12.2295,MR,medium,12,9ZffIZqFHz,pool1
right,right,1,7.5419,MR,medium,13,9ZffIZqFHz,pool1
left,left,1,5.1884,MR,medium,14,9ZffIZqFHz,pool1
left,left,1,9.1166,MR,medium,15,9ZffIZqFHz,pool1
left,left,1,4.3392,MR,medium,16,9ZffIZqFHz,pool1
left,left,1,4.63,MR,hard,1,9ZffIZqFHz,pool1
left,left,1,9.5537,MR,hard,2,9ZffIZqFHz,pool1
right,right,1,7.1572,MR,hard,3,9ZffIZqFHz,pool1
right,left,0,6.7872,MR,hard,4,9ZffIZqFHz,pool1
left,left,1,5.603,MR,hard,5,9ZffIZqFHz,pool1
right,left,0,8.0399,MR,hard,6,9ZffIZqFHz,pool1
right,left,0,5.4234,MR,hard,7,9ZffIZqFHz,pool1
right,left,0,6.4321,MR,hard,8,9ZffIZqFHz,pool1
left,left,1,7.3466,MR,hard,9,9ZffIZqFHz,pool1
right,right,1,9.5586,MR,hard,10,9ZffIZqFHz,pool1
left,left,1,9.7015,MR,hard,11,9ZffIZqFHz,pool1
left,right,0,11.0411,MR,hard,12,9ZffIZqFHz,pool1
left,left,1,7.3731,MR,hard,13,9ZffIZqFHz,pool1
left,left,1,7.9811,MR,hard,14,9ZffIZqFHz,pool1
right,right,1,8.9807,MR,hard,15,9ZffIZqFHz,pool1
right,right,1,8.3776,MR,hard,16,9ZffIZqFHz,pool1
right,left,0,6.9512,MR,easy,1,wiRZfBYOru,pool2
right,right,1,2.4904,MR,easy,2,wiRZfBYOru,pool2
left,right,0,1.831,MR,easy,3,wiRZfBYOru,pool2
left,left,1,10.2988,MR,easy,4,wiRZfBYOru,pool2
left,right,0,3.2031,MR,easy,5,wiRZfBYOru,pool2
left,right,0,2.1667,MR,easy,6,wiRZfBYOru,pool2
left,left,1,8.6685,MR,easy,7,wiRZfBYOru,pool2
right,right,1,3.6979,MR,easy,8,wiRZfBYOru,pool2
left,right,0,6.9266,MR,easy,9,wiRZfBYOru,pool2
left,left,1,8.0609,MR,easy,10,wiRZfBYOru,pool2
right,right,1,8.6878,MR,easy,11,wiRZfBYOru,pool2
right,right,1,4.8161,MR,easy,12,wiRZfBYOru,pool2
right,right,1,5.7918,MR,easy,13,wiRZfBYOru,pool2
left,left,1,4.2471,MR,easy,14,wiRZfBYOru,pool2
right,right,1,3.5075,MR,easy,15,wiRZfBYOru,pool2
left,left,1,13.7998,MR,easy,16,wiRZfBYOru,pool2
right,right,1,10.2288,MR,medium,1,wiRZfBYOru,pool2
left,right,0,8.6739,MR,medium,2,wiRZfBYOru,pool2
right,right,1,8.4709,MR,medium,3,wiRZfBYOru,pool2
right,right,1,5.3294,MR,medium,4,wiRZfBYOru,pool2
right,right,1,21.6155,MR,medium,5,wiRZfBYOru,pool2
left,right,0,0.9705,MR,medium,6,wiRZfBYOru,pool2
right,right,1,0.9602,MR,medium,7,wiRZfBYOru,pool2
right,right,1,0.8491,MR,medium,8,wiRZfBYOru,pool2
left,right,0,0.8011,MR,medium,9,wiRZfBYOru,pool2
right,right,1,1.0892,MR,medium,10,wiRZfBYOru,pool2
right,right,1,1.3406,MR,medium,11,wiRZfBYOru,pool2
left,right,0,3.3668,MR,medium,12,wiRZfBYOru,pool2
right,right,1,4.8971,MR,medium,13,wiRZfBYOru,pool2
left,right,0,7.5104,MR,medium,14,wiRZfBYOru,pool2
right,right,1,1.6951,MR,medium,15,wiRZfBYOru,pool2
left,right,0,2.5447,MR,medium,16,wiRZfBYOru,pool2
left,right,0,4.7893,MR,hard,1,wiRZfBYOru,pool2
right,right,1,12.6139,MR,hard,2,wiRZfBYOru,pool2
right,right,1,12.6339,MR,hard,3,wiRZfBYOru,pool2
right,right,1,9.7315,MR,hard,4,wiRZfBYOru,pool2
left,right,0,11.8395,MR,hard,5,wiRZfBYOru,pool2
left,right,0,5.927,MR,hard,6,wiRZfBYOru,pool2
left,left,1,9.6668,MR,hard,7,wiRZfBYOru,pool2
left,right,0,16.1346,MR,hard,8,wiRZfBYOru,pool2
right,right,1,7.0407,MR,hard,9,wiRZfBYOru,pool2
right,right,1,6.8422,MR,hard,10,wiRZfBYOru,pool2
right,left,0,8.0501,MR,hard,11,wiRZfBYOru,pool2
left,right,0,6.6932,MR,hard,12,wiRZfBYOru,pool2
left,right,0,7.2041,MR,hard,13,wiRZfBYOru,pool2
left,right,0,10.5914,MR,hard,14,wiRZfBYOru,pool2
left,right,0,8.608,MR,hard,15,wiRZfBYOru,pool2
right,right,1,13.4167,MR,hard,16,wiRZfBYOru,pool2
left,right,0,7.8634,MR,easy,1,cCWrG11sgp,pool2
left,right,0,1.7628,MR,easy,2,cCWrG11sgp,pool2
left,left,1,10.8986,MR,easy,3,cCWrG11sgp,pool2
left,left,1,6.5535,MR,easy,4,cCWrG11sgp,pool2
left,left,1,8.2391,MR,easy,5,cCWrG11sgp,pool2
right,right,1,4.5018,MR,easy,6,cCWrG11sgp,pool2
right,left,0,3.7108,MR,easy,7,cCWrG11sgp,pool2
right,right,1,3.7037,MR,easy,8,cCWrG11sgp,pool2
right,right,1,5.4096,MR,easy,9,cCWrG11sgp,pool2
left,left,1,3.1027,MR,easy,10,cCWrG11sgp,pool2
right,right,1,3.9575,MR,easy,11,cCWrG11sgp,pool2
right,right,1,3.4017,MR,easy,12,cCWrG11sgp,pool2
right,left,0,2.3961,MR,easy,13,cCWrG11sgp,pool2
right,right,1,4.9638,MR,easy,14,cCWrG11sgp,pool2
left,left,1,3.9485,MR,easy,15,cCWrG11sgp,pool2
right,right,1,2.1947,MR,easy,16,cCWrG11sgp,pool2
left,left,1,5.1484,MR,medium,1,cCWrG11sgp,pool2
right,right,1,4.7693,MR,medium,2,cCWrG11sgp,pool2
left,left,1,9.483,MR,medium,3,cCWrG11sgp,pool2
left,left,1,6.2739,MR,medium,4,cCWrG11sgp,pool2
left,left,1,4.901,MR,medium,5,cCWrG11sgp,pool2
left,left,1,2.6307,MR,medium,6,cCWrG11sgp,pool2
left,left,1,6.3109,MR,medium,7,cCWrG11sgp,pool2
right,left,0,11.3369,MR,medium,8,cCWrG11sgp,pool2
left,left,1,12.6316,MR,medium,9,cCWrG11sgp,pool2
right,right,1,12.4955,MR,medium,10,cCWrG11sgp,pool2
right,right,1,4.0395,MR,medium,11,cCWrG11sgp,pool2
right,right,1,7.3622,MR,medium,12,cCWrG11sgp,pool2
right,right,1,4.9965,MR,medium,13,cCWrG11sgp,pool2
right,right,1,9.7113,MR,medium,14,cCWrG11sgp,pool2
left,left,1,6.6705,MR,medium,15,cCWrG11sgp,pool2
right,right,1,6.1078,MR,medium,16,cCWrG11sgp,pool2
right,right,1,2.5606,MR,hard,1,cCWrG11sgp,pool2
left,right,0,0.8729,MR,hard,2,cCWrG11sgp,pool2
left,left,1,2.2282,MR,hard,3,cCWrG11sgp,pool2
left,right,0,1.3002,MR,hard,4,cCWrG11sgp,pool2
right,right,1,0.7819,MR,hard,5,cCWrG11sgp,pool2
left,left,1,0.7584,MR,hard,6,cCWrG11sgp,pool2
left,left,1,0.6917,MR,hard,7,cCWrG11sgp,pool2
left,left,1,0.5752,MR,hard,8,cCWrG11sgp,pool2
left,right,0,0.6878,MR,hard,9,cCWrG11sgp,pool2
left,right,0,0.6699,MR,hard,10,cCWrG11sgp,pool2
left,right,0,0.6183,MR,hard,11,cCWrG11sgp,pool2
left,left,1,0.6602,MR,hard,12,cCWrG11sgp,pool2
left,left,1,0.6419,MR,hard,13,cCWrG11sgp,pool2
left,left,1,0.6808,MR,hard,14,cCWrG11sgp,pool2
left,right,0,0.5514,MR,hard,15,cCWrG11sgp,pool2
right,right,1,0.5397,MR,hard,16,cCWrG11sgp,pool2
right,right,1,8.8695,MR,easy,1,gI6hCgCchT,pool2
left,right,0,6.8338,MR,easy,2,gI6hCgCchT,pool2
right,right,1,10.5719,MR,easy,3,gI6hCgCchT,pool2
right,right,1,4.7344,MR,easy,4,gI6hCgCchT,pool2
right,right,1,5.0006,MR,easy,5,gI6hCgCchT,pool2
right,right,1,5.0815,MR,easy,6,gI6hCgCchT,pool2
right,right,1,21.9882,MR,easy,7,gI6hCgCchT,pool2
right,right,1,3.3809,MR,easy,8,gI6hCgCchT,pool2
right,right,1,5.5263,MR,easy,9,gI6hCgCchT,pool2
left,right,0,12.9648,MR,easy,10,gI6hCgCchT,pool2
left,right,0,8.1787,MR,easy,11,gI6hCgCchT,pool2
left,right,0,3.9965,MR,easy,12,gI6hCgCchT,pool2
right,right,1,6.9514,MR,easy,13,gI6hCgCchT,pool2
left,right,0,16.1993,MR,easy,14,gI6hCgCchT,pool2
right,right,1,3.8957,MR,easy,15,gI6hCgCchT,pool2
right,right,1,2.6732,MR,easy,16,gI6hCgCchT,pool2
left,right,0,9.3815,MR,medium,1,gI6hCgCchT,pool2
left,right,0,35.73,MR,medium,2,gI6hCgCchT,pool2
right,right,1,7.06,MR,medium,3,gI6hCgCchT,pool2
right,right,1,29.0909,MR,medium,4,gI6hCgCchT,pool2
left,right,0,15.5998,MR,medium,5,gI6hCgCchT,pool2
left,right,0,37.5013,MR,medium,6,gI6hCgCchT,pool2
left,left,1,7.8703,MR,medium,7,gI6hCgCchT,pool2
right,right,1,20.2465,MR,medium,8,gI6hCgCchT,pool2
left,right,0,15.3014,MR,medium,9,gI6hCgCchT,pool2
right,left,0,30.3555,MR,medium,10,gI6hCgCchT,pool2
right,right,1,36.9543,MR,medium,11,gI6hCgCchT,pool2
right,right,1,9.031,MR,medium,12,gI6hCgCchT,pool2
right,right,1,10.1257,MR,medium,13,gI6hCgCchT,pool2
right,right,1,11.2497,MR,medium,14,gI6hCgCchT,pool2
right,right,1,16.7537,MR,medium,15,gI6hCgCchT,pool2
right,right,1,8.8426,MR,medium,16,gI6hCgCchT,pool2
right,right,1,9.5354,MR,hard,1,gI6hCgCchT,pool2
left,right,0,15.0931,MR,hard,2,gI6hCgCchT,pool2
right,right,1,6.3435,MR,hard,3,gI6hCgCchT,pool2
left,right,0,3.5824,MR,hard,4,gI6hCgCchT,pool2
left,right,0,7.4501,MR,hard,5,gI6hCgCchT,pool2
right,left,0,13.9632,MR,hard,6,gI6hCgCchT,pool2
left,left,1,4.7345,MR,hard,7,gI6hCgCchT,pool2
right,right,1,27.8594,MR,hard,8,gI6hCgCchT,pool2
right,left,0,13.6768,MR,hard,9,gI6hCgCchT,pool2
left,left,1,10.8503,MR,hard,10,gI6hCgCchT,pool2
left,left,1,7.4176,MR,hard,11,gI6hCgCchT,pool2
right,right,1,12.7193,MR,hard,12,gI6hCgCchT,pool2
left,right,0,5.517,MR,hard,13,gI6hCgCchT,pool2
right,right,1,18.2829,MR,hard,14,gI6hCgCchT,pool2
left,right,0,16.7164,MR,hard,15,gI6hCgCchT,pool2
left,right,0,21.2166,MR,hard,16,gI6hCgCchT,pool2
right,right,1,3.0407,MR,easy,1,kGWL9y5AS9,pool2
left,right,0,7.4755,MR,easy,2,kGWL9y5AS9,pool2
left,right,0,3.5838,MR,easy,3,kGWL9y5AS9,pool2
left,right,0,3.8897,MR,easy,4,kGWL9y5AS9,pool2
right,right,1,7.303,MR,easy,5,kGWL9y5AS9,pool2
right,right,1,2.2217,MR,easy,6,kGWL9y5AS9,pool2
left,right,0,4.0007,MR,easy,7,kGWL9y5AS9,pool2
left,right,0,7.2727,MR,easy,8,kGWL9y5AS9,pool2
left,right,0,6.1176,MR,easy,9,kGWL9y5AS9,pool2
right,right,1,5.8093,MR,easy,10,kGWL9y5AS9,pool2
right,right,1,5.5514,MR,easy,11,kGWL9y5AS9,pool2
right,right,1,4.1568,MR,easy,12,kGWL9y5AS9,pool2
right,right,1,6.7037,MR,easy,13,kGWL9y5AS9,pool2
right,right,1,5.9175,MR,easy,14,kGWL9y5AS9,pool2
left,right,0,9.9086,MR,easy,15,kGWL9y5AS9,pool2
right,right,1,6.9166,MR,easy,16,kGWL9y5AS9,pool2
left,right,0,12.3899,MR,medium,1,kGWL9y5AS9,pool2
left,right,0,7.8708,MR,medium,2,kGWL9y5AS9,pool2
right,right,1,8.7008,MR,medium,3,kGWL9y5AS9,pool2
right,right,1,12.7667,MR,medium,4,kGWL9y5AS9,pool2
left,right,0,15.6486,MR,medium,5,kGWL9y5AS9,pool2
right,right,1,9.591,MR,medium,6,kGWL9y5AS9,pool2
left,right,0,8.7657,MR,medium,7,kGWL9y5AS9,pool2
right,right,1,9.3164,MR,medium,8,kGWL9y5AS9,pool2
left,right,0,10.8663,MR,medium,9,kGWL9y5AS9,pool2
left,right,0,8.5269,MR,medium,10,kGWL9y5AS9,pool2
left,right,0,12.2153,MR,medium,11,kGWL9y5AS9,pool2
right,right,1,9.4824,MR,medium,12,kGWL9y5AS9,pool2
right,left,0,12.0152,MR,medium,13,kGWL9y5AS9,pool2
left,left,1,7.551,MR,medium,14,kGWL9y5AS9,pool2
left,left,1,15.2342,MR,medium,15,kGWL9y5AS9,pool2
